fold_id,model_name,set,accuracy,precision,recall,f1,auc
0,BernoulliNB,train,0.9116465863453816,0.8918918918918919,0.908256880733945,0.9,0.9278505897771951
0,BernoulliNB,test,0.896,0.851063829787234,0.8695652173913043,0.8602150537634409,0.9068519537699504
1,BernoulliNB,train,0.9116465863453816,0.8811881188118812,0.898989898989899,0.89,0.9231649831649832
1,BernoulliNB,test,0.896,0.8771929824561403,0.8928571428571429,0.8849557522123894,0.9197722567287784
2,BernoulliNB,train,0.892,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.922231054583996
2,BernoulliNB,test,0.9274193548387096,0.9074074074074074,0.9245283018867924,0.9158878504672898,0.9533616795110283
3,BernoulliNB,train,0.8995983935742972,0.8811881188118812,0.8725490196078431,0.8768472906403942,0.9235694277711084
3,BernoulliNB,test,0.912,0.8620689655172413,0.9433962264150944,0.9009009009009008,0.943658280922432
4,BernoulliNB,train,0.9036144578313252,0.883495145631068,0.883495145631068,0.883495145631068,0.9340337810879106
4,BernoulliNB,test,0.904,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.9274236037934668
5,BernoulliNB,train,0.912,0.8807339449541285,0.9142857142857144,0.8971962616822431,0.9261412151067324
5,BernoulliNB,test,0.8951612903225806,0.8775510204081632,0.86,0.8686868686868686,0.9091891891891892
6,BernoulliNB,train,0.9116465863453816,0.9019607843137256,0.8846153846153846,0.8932038834951457,0.930603448275862
6,BernoulliNB,test,0.896,0.8392857142857143,0.9215686274509804,0.8785046728971961,0.9036830948595655
7,BernoulliNB,train,0.8995983935742972,0.8490566037735849,0.9090909090909092,0.8780487804878049,0.9345117845117844
7,BernoulliNB,test,0.92,0.9423076923076924,0.875,0.9074074074074072,0.9266304347826086
8,BernoulliNB,train,0.908,0.8888888888888888,0.897196261682243,0.8930232558139535,0.9139925495065684
8,BernoulliNB,test,0.9032258064516128,0.86,0.8958333333333334,0.8775510204081632,0.9403782894736844
9,BernoulliNB,train,0.9076305220883534,0.8846153846153846,0.8932038834951457,0.8888888888888888,0.9366604601675756
9,BernoulliNB,test,0.904,0.8703703703703703,0.903846153846154,0.8867924528301887,0.9222866174920972
10,BernoulliNB,train,0.8955823293172691,0.8476190476190476,0.898989898989899,0.8725490196078433,0.9176094276094277
10,BernoulliNB,test,0.928,0.9433962264150944,0.8928571428571429,0.9174311926605504,0.9381469979296068
11,BernoulliNB,train,0.916,0.9065420560747663,0.8981481481481481,0.9023255813953488,0.9201225873761084
11,BernoulliNB,test,0.8870967741935484,0.8235294117647058,0.8936170212765957,0.8571428571428571,0.9287095882840564
12,BernoulliNB,train,0.9036144578313252,0.8529411764705882,0.90625,0.8787878787878787,0.9335511982570808
12,BernoulliNB,test,0.896,0.925925925925926,0.847457627118644,0.8849557522123893,0.9313045711350796
13,BernoulliNB,train,0.8955823293172691,0.8867924528301887,0.8703703703703703,0.8785046728971964,0.9067178881008668
13,BernoulliNB,test,0.928,0.8653846153846154,0.9574468085106383,0.9090909090909092,0.9639934533551556
14,BernoulliNB,train,0.916,0.897196261682243,0.9056603773584906,0.9014084507042254,0.945885744234801
14,BernoulliNB,test,0.8790322580645161,0.8269230769230769,0.8775510204081632,0.8514851485148514,0.8963265306122449
15,BernoulliNB,train,0.9076305220883534,0.8737864077669902,0.9,0.8866995073891626,0.9371476510067114
15,BernoulliNB,test,0.896,0.875,0.8909090909090909,0.8828828828828829,0.9206493506493508
16,BernoulliNB,train,0.9076305220883534,0.8785046728971962,0.903846153846154,0.8909952606635071,0.9225132625994696
