,fold_id,model_name,set,accuracy,precision,recall,f1,auc
24,12,BernoulliNB,train,0.9076305220883534,0.8613861386138614,0.90625,0.883248730964467,0.9173134531590414
25,12,BernoulliNB,test,0.904,0.9433962264150944,0.847457627118644,0.8928571428571428,0.9397791474062661
26,13,BernoulliNB,train,0.8995983935742972,0.8952380952380953,0.8703703703703703,0.8826291079812207,0.9137115839243499
27,13,BernoulliNB,test,0.928,0.8653846153846154,0.9574468085106383,0.9090909090909091,0.948581560283688
28,14,BernoulliNB,train,0.916,0.9047619047619048,0.8962264150943396,0.9004739336492891,0.9398912473794548
29,14,BernoulliNB,test,0.8790322580645161,0.84,0.8571428571428571,0.8484848484848485,0.8900680272108843
30,15,BernoulliNB,train,0.9156626506024096,0.8910891089108911,0.9,0.8955223880597015,0.9258053691275168
31,15,BernoulliNB,test,0.896,0.875,0.8909090909090909,0.8828828828828829,0.9196103896103895
32,16,BernoulliNB,train,0.9076305220883534,0.8785046728971962,0.9038461538461539,0.8909952606635071,0.9195291777188328
33,16,BernoulliNB,test,0.904,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9268680445151033
34,17,BernoulliNB,train,0.904,0.8942307692307693,0.8773584905660378,0.8857142857142858,0.9281315513626834
35,17,BernoulliNB,test,0.9112903225806451,0.88,0.8979591836734694,0.888888888888889,0.911156462585034
36,18,BernoulliNB,train,0.891566265060241,0.8771929824561403,0.8849557522123894,0.8810572687224669,0.9172956793336804
37,18,BernoulliNB,test,0.944,0.9069767441860465,0.9285714285714286,0.9176470588235294,0.9363166953528399
38,19,BernoulliNB,train,0.9116465863453815,0.8846153846153846,0.9019607843137255,0.8932038834951457,0.9241029745231426
39,19,BernoulliNB,test,0.896,0.8703703703703703,0.8867924528301887,0.8785046728971964,0.9207285115303983
40,20,BernoulliNB,train,0.92,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.9288285229202038
41,20,BernoulliNB,test,0.8790322580645161,0.8813559322033898,0.8666666666666667,0.8739495798319329,0.9115885416666666
42,21,BernoulliNB,train,0.9036144578313253,0.875,0.8921568627450981,0.883495145631068,0.9196011738028546
43,21,BernoulliNB,test,0.92,0.9056603773584906,0.9056603773584906,0.9056603773584906,0.9333071278825995
44,22,BernoulliNB,train,0.9076305220883534,0.8867924528301887,0.8952380952380953,0.8909952606635072,0.9308201058201058
45,22,BernoulliNB,test,0.904,0.8958333333333334,0.86,0.8775510204081632,0.9054666666666665
46,23,BernoulliNB,train,0.912,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.919093851132686
47,23,BernoulliNB,test,0.8951612903225806,0.8545454545454545,0.9038461538461539,0.8785046728971962,0.9333600427350427
48,24,BernoulliNB,train,0.8835341365461847,0.8673469387755102,0.8415841584158416,0.8542713567839196,0.9076130586031576
49,24,BernoulliNB,test,0.952,0.9285714285714286,0.9629629629629629,0.9454545454545454,0.9551382368283776
50,25,BernoulliNB,train,0.9196787148594378,0.8910891089108911,0.9090909090909091,0.9,0.9352188552188551
51,25,BernoulliNB,test,0.88,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.8994565217391306
52,26,BernoulliNB,train,0.924,0.9099099099099099,0.9181818181818182,0.914027149321267,0.9291558441558441
53,26,BernoulliNB,test,0.8709677419354839,0.8085106382978723,0.8444444444444444,0.8260869565217391,0.909845288326301
54,27,BernoulliNB,train,0.9357429718875502,0.9065420560747663,0.941747572815534,0.9238095238095239,0.9428447931905838
55,27,BernoulliNB,test,0.848,0.851063829787234,0.7692307692307693,0.8080808080808081,0.8846153846153846
56,28,BernoulliNB,train,0.8955823293172691,0.8865979381443299,0.8514851485148515,0.8686868686868687,0.9078137543484077
57,28,BernoulliNB,test,0.928,0.8688524590163934,0.9814814814814815,0.9217391304347826,0.9535732916014606
58,29,BernoulliNB,train,0.896,0.8773584905660378,0.8773584905660378,0.8773584905660378,0.9196802935010482
59,29,BernoulliNB,test,0.9274193548387096,0.9166666666666666,0.8979591836734694,0.9072164948453607,0.9312925170068027
60,30,BernoulliNB,train,0.9156626506024096,0.8695652173913043,0.9433962264150944,0.9049773755656109,0.9290143818445704
61,30,BernoulliNB,test,0.888,0.9069767441860465,0.7959183673469388,0.8478260869565216,0.9164876476906552
62,31,BernoulliNB,train,0.8875502008032129,0.87,0.8529411764705882,0.8613861386138614,0.9121648659463786
63,31,BernoulliNB,test,0.944,0.9259259259259259,0.9433962264150944,0.9345794392523364,0.9549266247379457
64,32,BernoulliNB,train,0.916,0.9090909090909091,0.8823529411764706,0.8955223880597014,0.9353139904610492
65,32,BernoulliNB,test,0.8870967741935484,0.8305084745762712,0.9245283018867925,0.875,0.8943661971830986
66,33,BernoulliNB,train,0.8955823293172691,0.8785046728971962,0.8785046728971962,0.8785046728971962,0.9145057259444517
67,33,BernoulliNB,test,0.928,0.9148936170212766,0.8958333333333334,0.9052631578947369,0.9423701298701298
68,34,BernoulliNB,train,0.9116465863453815,0.897196261682243,0.897196261682243,0.897196261682243,0.9306963274976965
69,34,BernoulliNB,test,0.896,0.8723404255319149,0.8541666666666666,0.8631578947368421,0.909361471861472
70,35,BernoulliNB,train,0.92,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.9241409632034632
71,35,BernoulliNB,test,0.8790322580645161,0.8548387096774194,0.8983050847457628,0.8760330578512397,0.9195567144719687
72,36,BernoulliNB,train,0.9076305220883534,0.9090909090909091,0.8653846153846154,0.8866995073891625,0.9199270557029179
73,36,BernoulliNB,test,0.912,0.8448275862068966,0.9607843137254902,0.8990825688073395,0.9337572866984631
74,37,BernoulliNB,train,0.9156626506024096,0.8703703703703703,0.9306930693069307,0.8995215311004785,0.9372156810275621
75,37,BernoulliNB,test,0.88,0.9148936170212766,0.7962962962962963,0.8514851485148516,0.9044079290558164
76,38,BernoulliNB,train,0.904,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9176026272577996
77,38,BernoulliNB,test,0.9193548387096774,0.8846153846153846,0.92,0.9019607843137256,0.9343243243243244
78,39,BernoulliNB,train,0.891566265060241,0.85,0.8762886597938144,0.8629441624365483,0.9097259902333152
79,39,BernoulliNB,test,0.928,0.9454545454545454,0.896551724137931,0.920353982300885,0.9454451878538341
80,40,BernoulliNB,train,0.9116465863453815,0.9056603773584906,0.8888888888888888,0.897196261682243,0.9384029419490412
81,40,BernoulliNB,test,0.896,0.8541666666666666,0.8723404255319149,0.8631578947368421,0.8944353518821604
82,41,BernoulliNB,train,0.912,0.9029126213592233,0.8857142857142857,0.8942307692307693,0.924663382594417
