,fold_id,model_name,set,accuracy,precision,recall,f1,auc
0,0,BernoulliNB,train,0.9116465863453815,0.8918918918918919,0.908256880733945,0.9,0.9385321100917432
1,0,BernoulliNB,test,0.912,0.8571428571428571,0.9130434782608695,0.8842105263157894,0.9109796367638965
2,1,BernoulliNB,train,0.9317269076305221,0.91,0.9191919191919192,0.9145728643216081,0.931986531986532
3,1,BernoulliNB,test,0.896,0.8771929824561403,0.8928571428571429,0.8849557522123894,0.9213250517598345
4,2,BernoulliNB,train,0.908,0.8761904761904762,0.9019607843137255,0.888888888888889,0.922197933227345
5,2,BernoulliNB,test,0.9435483870967742,0.9423076923076923,0.9245283018867925,0.9333333333333333,0.9641243688546373
6,3,BernoulliNB,train,0.9156626506024096,0.900990099009901,0.8921568627450981,0.8965517241379312,0.9243697478991596
7,3,BernoulliNB,test,0.928,0.8928571428571429,0.9433962264150944,0.9174311926605505,0.9567610062893082
8,4,BernoulliNB,train,0.927710843373494,0.912621359223301,0.912621359223301,0.912621359223301,0.9412155871791462
9,4,BernoulliNB,test,0.92,0.9038461538461539,0.9038461538461539,0.9038461538461539,0.9242623814541624
10,5,BernoulliNB,train,0.916,0.8818181818181818,0.9238095238095239,0.9023255813953489,0.9325123152709359
11,5,BernoulliNB,test,0.9032258064516129,0.88,0.88,0.88,0.9175675675675675
12,6,BernoulliNB,train,0.9156626506024096,0.9029126213592233,0.8942307692307693,0.8985507246376813,0.9340848806366048
13,6,BernoulliNB,test,0.912,0.8571428571428571,0.9411764705882353,0.897196261682243,0.9149443561208267
14,7,BernoulliNB,train,0.9116465863453815,0.8666666666666667,0.9191919191919192,0.8921568627450981,0.9385185185185185
15,7,BernoulliNB,test,0.936,0.9615384615384616,0.8928571428571429,0.9259259259259259,0.9306418219461698
16,8,BernoulliNB,train,0.92,0.8990825688073395,0.9158878504672897,0.9074074074074073,0.9217698189660807
17,8,BernoulliNB,test,0.9112903225806451,0.8775510204081632,0.8958333333333334,0.8865979381443299,0.9436677631578947
18,9,BernoulliNB,train,0.9236947791164659,0.9117647058823529,0.9029126213592233,0.9073170731707318,0.9490956244181407
19,9,BernoulliNB,test,0.912,0.8727272727272727,0.9230769230769231,0.897196261682243,0.9149104320337197
20,10,BernoulliNB,train,0.9116465863453815,0.8737864077669902,0.9090909090909091,0.891089108910891,0.9238383838383838
21,10,BernoulliNB,test,0.936,0.9444444444444444,0.9107142857142857,0.9272727272727271,0.9403467908902693
22,11,BernoulliNB,train,0.924,0.908256880733945,0.9166666666666666,0.912442396313364,0.9195357329160144
23,11,BernoulliNB,test,0.8870967741935484,0.8235294117647058,0.8936170212765957,0.8571428571428571,0.9447361149488809
24,12,BernoulliNB,train,0.9236947791164659,0.8811881188118812,0.9270833333333334,0.9035532994923858,0.9382829520697169
25,12,BernoulliNB,test,0.912,0.9285714285714286,0.8813559322033898,0.9043478260869564,0.9336158192090396
26,13,BernoulliNB,train,0.8995983935742972,0.8878504672897196,0.8796296296296297,0.883720930232558,0.9107236669293408
27,13,BernoulliNB,test,0.936,0.8679245283018868,0.9787234042553191,0.9199999999999999,0.9728587015821057
28,14,BernoulliNB,train,0.928,0.9074074074074074,0.9245283018867925,0.9158878504672898,0.952764675052411
29,14,BernoulliNB,test,0.9032258064516129,0.8775510204081632,0.8775510204081632,0.8775510204081631,0.8965986394557822
30,15,BernoulliNB,train,0.9236947791164659,0.900990099009901,0.91,0.9054726368159204,0.9423154362416107
31,15,BernoulliNB,test,0.912,0.8928571428571429,0.9090909090909091,0.9009009009009009,0.9209090909090909
32,16,BernoulliNB,train,0.9116465863453815,0.8796296296296297,0.9134615384615384,0.8962264150943395,0.9214522546419098
33,16,BernoulliNB,test,0.912,0.8846153846153846,0.9019607843137255,0.8932038834951457,0.9372019077901431
34,17,BernoulliNB,train,0.916,0.897196261682243,0.9056603773584906,0.9014084507042254,0.9334381551362684
35,17,BernoulliNB,test,0.9274193548387096,0.9,0.9183673469387755,0.9090909090909091,0.9239455782312925
36,18,BernoulliNB,train,0.9036144578313253,0.8869565217391304,0.9026548672566371,0.8947368421052632,0.9220458094742322
37,18,BernoulliNB,test,0.936,0.8863636363636364,0.9285714285714286,0.9069767441860465,0.9496557659208261
38,19,BernoulliNB,train,0.9196787148594378,0.8942307692307693,0.9117647058823529,0.9029126213592232,0.9343404028277978
39,19,BernoulliNB,test,0.92,0.9056603773584906,0.9056603773584906,0.9056603773584906,0.9350104821802935
40,20,BernoulliNB,train,0.928,0.8969072164948454,0.9157894736842105,0.9062499999999999,0.9417996604414262
41,20,BernoulliNB,test,0.9032258064516129,0.9,0.9,0.9,0.9194010416666667
42,21,BernoulliNB,train,0.9116465863453815,0.8773584905660378,0.9117647058823529,0.8942307692307693,0.9297052154195011
43,21,BernoulliNB,test,0.912,0.8888888888888888,0.9056603773584906,0.897196261682243,0.9258385744234802
44,22,BernoulliNB,train,0.9236947791164659,0.8981481481481481,0.9238095238095239,0.9107981220657277,0.9345899470899471
45,22,BernoulliNB,test,0.912,0.8979591836734694,0.88,0.888888888888889,0.9193333333333333
46,23,BernoulliNB,train,0.908,0.8846153846153846,0.8932038834951457,0.8888888888888888,0.9326992933095568
47,23,BernoulliNB,test,0.9354838709677419,0.9074074074074074,0.9423076923076923,0.9245283018867925,0.9431089743589743
48,24,BernoulliNB,train,0.9116465863453815,0.898989898989899,0.8811881188118812,0.89,0.9166109178485417
49,24,BernoulliNB,test,0.952,0.9285714285714286,0.9629629629629629,0.9454545454545454,0.970396452790819
