fold_id,model_name,set,accuracy,precision,recall,f1
0,GaussianNB,train,0.923694779116466,0.9017857142857144,0.926605504587156,0.9140271493212668
0,GaussianNB,test,0.912,0.8571428571428571,0.9130434782608696,0.8842105263157894
1,GaussianNB,train,0.923694779116466,0.8921568627450981,0.9191919191919192,0.9054726368159204
1,GaussianNB,test,0.904,0.8928571428571429,0.8928571428571429,0.8928571428571429
2,GaussianNB,train,0.912,0.8773584905660378,0.9117647058823528,0.8942307692307693
2,GaussianNB,test,0.935483870967742,0.9090909090909092,0.9433962264150944,0.925925925925926
3,GaussianNB,train,0.9156626506024096,0.8932038834951457,0.9019607843137256,0.8975609756097561
3,GaussianNB,test,0.928,0.8793103448275862,0.9622641509433962,0.9189189189189187
4,GaussianNB,train,0.9156626506024096,0.8796296296296297,0.9223300970873788,0.9004739336492891
4,GaussianNB,test,0.928,0.9056603773584906,0.9230769230769232,0.9142857142857144
5,GaussianNB,train,0.928,0.8918918918918919,0.9428571428571428,0.9166666666666669
5,GaussianNB,test,0.9032258064516128,0.88,0.88,0.88
6,GaussianNB,train,0.927710843373494,0.9134615384615384,0.9134615384615384,0.9134615384615384
6,GaussianNB,test,0.904,0.8421052631578947,0.9411764705882352,0.8888888888888888
7,GaussianNB,train,0.9116465863453816,0.8598130841121495,0.9292929292929292,0.8932038834951457
7,GaussianNB,test,0.936,0.9444444444444444,0.9107142857142856,0.9272727272727272
8,GaussianNB,train,0.916,0.8909090909090909,0.9158878504672896,0.9032258064516128
8,GaussianNB,test,0.9112903225806452,0.8775510204081632,0.8958333333333334,0.8865979381443299
9,GaussianNB,train,0.923694779116466,0.8962264150943396,0.9223300970873788,0.9090909090909092
9,GaussianNB,test,0.912,0.8727272727272727,0.9230769230769232,0.897196261682243
10,GaussianNB,train,0.9036144578313252,0.8571428571428571,0.9090909090909092,0.8823529411764706
10,GaussianNB,test,0.936,0.9444444444444444,0.9107142857142856,0.9272727272727272
11,GaussianNB,train,0.924,0.908256880733945,0.9166666666666666,0.912442396313364
11,GaussianNB,test,0.9112903225806452,0.8461538461538461,0.9361702127659576,0.8888888888888888
12,GaussianNB,train,0.9116465863453816,0.8557692307692307,0.9270833333333334,0.8899999999999999
12,GaussianNB,test,0.92,0.9454545454545454,0.8813559322033898,0.912280701754386
13,GaussianNB,train,0.9116465863453816,0.8981481481481481,0.8981481481481481,0.8981481481481481
